"","Sample.name","title","source.name","organism","characteristics..age","characteristics..developmental.stage","characteristics..sex","molecule","description","processed.data.file","raw.file","BioSample","Instrument.Model","Sample.name.new"
"K5_384Bulk_Plate2_S245","K5_384Bulk_Plate2_S245","Tabula Muris Senis (bulk RNA seq)","Pancreas_24","Mus musculus C57/BL6","18","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126786","SAMN11855201","Illumina NovaSeq 6000","Pancreas_24-m-18"
"K5_384Bulk_Plate3_S245","K5_384Bulk_Plate3_S245","Tabula Muris Senis (bulk RNA seq)","Brain_54","Mus musculus C57/BL6","24","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126785","SAMN11855202","Illumina NovaSeq 6000","Brain_54-m-24"
"K6_384Bulk_Plate1_S246","K6_384Bulk_Plate1_S246","Tabula Muris Senis (bulk RNA seq)","Lung_9","Mus musculus C57/BL6","24","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127068","SAMN11855203","Illumina NovaSeq 6000","Lung_9-m-24"
"K6_384Bulk_Plate2_S246","K6_384Bulk_Plate2_S246","Tabula Muris Senis (bulk RNA seq)","Spleen_45","Mus musculus C57/BL6","15","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126783","SAMN11855204","Illumina NovaSeq 6000","Spleen_45-m-15"
"K6_384Bulk_Plate3_S246","K6_384Bulk_Plate3_S246","Tabula Muris Senis (bulk RNA seq)","Brain_26","Mus musculus C57/BL6","27","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126782","SAMN11855205","Illumina NovaSeq 6000","Brain_26-m-27"
"K7_384Bulk_Plate1_S247","K7_384Bulk_Plate1_S247","Tabula Muris Senis (bulk RNA seq)","GAT_37","Mus musculus C57/BL6","9","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127410","SAMN11855206","Illumina NovaSeq 6000","GAT_37-m-9"
"K7_384Bulk_Plate2_S247","K7_384Bulk_Plate2_S247","Tabula Muris Senis (bulk RNA seq)","GAT_40","Mus musculus C57/BL6","18","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127411","SAMN11855207","Illumina NovaSeq 6000","GAT_40-m-18"
"K7_384Bulk_Plate3_S247","K7_384Bulk_Plate3_S247","Tabula Muris Senis (bulk RNA seq)","Brain_48","Mus musculus C57/BL6","12","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127408","SAMN11855208","Illumina NovaSeq 6000","Brain_48-m-12"
"K8_384Bulk_Plate1_S248","K8_384Bulk_Plate1_S248","Tabula Muris Senis (bulk RNA seq)","WBC_47","Mus musculus C57/BL6","24","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127409","SAMN11855209","Illumina NovaSeq 6000","WBC_47-m-24"
"K8_384Bulk_Plate2_S248","K8_384Bulk_Plate2_S248","Tabula Muris Senis (bulk RNA seq)","Spleen_26","Mus musculus C57/BL6","27","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127406","SAMN11855210","Illumina NovaSeq 6000","Spleen_26-m-27"
"K8_384Bulk_Plate3_S248","K8_384Bulk_Plate3_S248","Tabula Muris Senis (bulk RNA seq)","Pancreas_29","Mus musculus C57/BL6","1","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127407","SAMN11855211","Illumina NovaSeq 6000","Pancreas_29-m-1"
"K9_384Bulk_Plate1_S249","K9_384Bulk_Plate1_S249","Tabula Muris Senis (bulk RNA seq)","Lung_42","Mus musculus C57/BL6","27","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127404","SAMN11855212","Illumina NovaSeq 6000","Lung_42-m-27"
"K9_384Bulk_Plate2_S249","K9_384Bulk_Plate2_S249","Tabula Muris Senis (bulk RNA seq)","Heart_2","Mus musculus C57/BL6","3","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127405","SAMN11855213","Illumina NovaSeq 6000","Heart_2-m-3"
"K9_384Bulk_Plate3_S249","K9_384Bulk_Plate3_S249","Tabula Muris Senis (bulk RNA seq)","Brain_36","Mus musculus C57/BL6","24","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127450","SAMN11855214","Illumina NovaSeq 6000","Brain_36-m-24"
"L1_384Bulk_Plate1_S265","L1_384Bulk_Plate1_S265","Tabula Muris Senis (bulk RNA seq)","Liver_50","Mus musculus C57/BL6","6","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127110","SAMN11855215","Illumina NovaSeq 6000","Liver_50-m-6"
"L1_384Bulk_Plate2_S265","L1_384Bulk_Plate2_S265","Tabula Muris Senis (bulk RNA seq)","Bone_29","Mus musculus C57/BL6","6","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126951","SAMN11855216","Illumina NovaSeq 6000","Bone_29-m-6"
"L1_384Bulk_Plate3_S265","L1_384Bulk_Plate3_S265","Tabula Muris Senis (bulk RNA seq)","Kidney_49","Mus musculus C57/BL6","3","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126950","SAMN11855217","Illumina NovaSeq 6000","Kidney_49-m-3"
"L10_384Bulk_Plate1_S274","L10_384Bulk_Plate1_S274","Tabula Muris Senis (bulk RNA seq)","Small_Intestine_14","Mus musculus C57/BL6","1","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126953","SAMN11855218","Illumina NovaSeq 6000","Small_Intestine_14-f-1"
"L10_384Bulk_Plate2_S274","L10_384Bulk_Plate2_S274","Tabula Muris Senis (bulk RNA seq)","Marrow_50","Mus musculus C57/BL6","15","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126952","SAMN11855219","Illumina NovaSeq 6000","Marrow_50-m-15"
"L10_384Bulk_Plate3_S274","L10_384Bulk_Plate3_S274","Tabula Muris Senis (bulk RNA seq)","Marrow_10","Mus musculus C57/BL6","15","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126947","SAMN11855220","Illumina NovaSeq 6000","Marrow_10-f-15"
"L11_384Bulk_Plate1_S275","L11_384Bulk_Plate1_S275","Tabula Muris Senis (bulk RNA seq)","Liver_19","Mus musculus C57/BL6","9","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126914","SAMN11855221","Illumina NovaSeq 6000","Liver_19-m-9"
"L11_384Bulk_Plate2_S275","L11_384Bulk_Plate2_S275","Tabula Muris Senis (bulk RNA seq)","Brain_13","Mus musculus C57/BL6","9","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126949","SAMN11855222","Illumina NovaSeq 6000","Brain_13-m-9"
"L11_384Bulk_Plate3_S275","L11_384Bulk_Plate3_S275","Tabula Muris Senis (bulk RNA seq)","Kidney_42","Mus musculus C57/BL6","15","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126948","SAMN11855223","Illumina NovaSeq 6000","Kidney_42-f-15"
"L12_384Bulk_Plate1_S276","L12_384Bulk_Plate1_S276","Tabula Muris Senis (bulk RNA seq)","MAT_29","Mus musculus C57/BL6","9","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126959","SAMN11855224","Illumina NovaSeq 6000","MAT_29-m-9"
"L12_384Bulk_Plate2_S276","L12_384Bulk_Plate2_S276","Tabula Muris Senis (bulk RNA seq)","Brain_32","Mus musculus C57/BL6","15","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126958","SAMN11855225","Illumina NovaSeq 6000","Brain_32-f-15"
"L12_384Bulk_Plate3_S276","L12_384Bulk_Plate3_S276","Tabula Muris Senis (bulk RNA seq)","Brain_46","Mus musculus C57/BL6","24","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127416","SAMN11855226","Illumina NovaSeq 6000","Brain_46-m-24"
