"","Sample.name","title","source.name","organism","characteristics..age","characteristics..developmental.stage","characteristics..sex","molecule","description","processed.data.file","raw.file","BioSample","Instrument.Model","Sample.name.new"
"A1_384Bulk_Plate1_S1","A1_384Bulk_Plate1_S1","Tabula Muris Senis (bulk RNA seq)","BAT_24","Mus musculus C57/BL6","6","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127205","SAMN11854566","Illumina NovaSeq 6000","BAT_24-m-6"
"A1_384Bulk_Plate3_S1","A1_384Bulk_Plate3_S1","Tabula Muris Senis (bulk RNA seq)","SCAT_43","Mus musculus C57/BL6","3","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127206","SAMN11854567","Illumina NovaSeq 6000","SCAT_43-m-3"
"A10_384Bulk_Plate1_S10","A10_384Bulk_Plate1_S10","Tabula Muris Senis (bulk RNA seq)","Brain_47","Mus musculus C57/BL6","18","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127203","SAMN11854568","Illumina NovaSeq 6000","Brain_47-m-18"
"A10_384Bulk_Plate2_S10","A10_384Bulk_Plate2_S10","Tabula Muris Senis (bulk RNA seq)","GAT_39","Mus musculus C57/BL6","1","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127204","SAMN11854569","Illumina NovaSeq 6000","GAT_39-f-1"
"A10_384Bulk_Plate3_S10","A10_384Bulk_Plate3_S10","Tabula Muris Senis (bulk RNA seq)","Lung_6","Mus musculus C57/BL6","12","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127371","SAMN11854570","Illumina NovaSeq 6000","Lung_6-f-12"
"A11_384Bulk_Plate1_S11","A11_384Bulk_Plate1_S11","Tabula Muris Senis (bulk RNA seq)","Limb_Muscle_11","Mus musculus C57/BL6","3","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127373","SAMN11854571","Illumina NovaSeq 6000","Limb_Muscle_11-m-3"
"A11_384Bulk_Plate2_S11","A11_384Bulk_Plate2_S11","Tabula Muris Senis (bulk RNA seq)","WBC_34","Mus musculus C57/BL6","9","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127107","SAMN11854572","Illumina NovaSeq 6000","WBC_34-f-9"
"A11_384Bulk_Plate3_S11","A11_384Bulk_Plate3_S11","Tabula Muris Senis (bulk RNA seq)","Small_Intestine_46","Mus musculus C57/BL6","12","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127127","SAMN11854573","Illumina NovaSeq 6000","Small_Intestine_46-m-12"
"A12_384Bulk_Plate1_S12","A12_384Bulk_Plate1_S12","Tabula Muris Senis (bulk RNA seq)","Limb_Muscle_38","Mus musculus C57/BL6","9","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127454","SAMN11854574","Illumina NovaSeq 6000","Limb_Muscle_38-m-9"
"A12_384Bulk_Plate2_S12","A12_384Bulk_Plate2_S12","Tabula Muris Senis (bulk RNA seq)","Liver_56","Mus musculus C57/BL6","6","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126831","SAMN11854575","Illumina NovaSeq 6000","Liver_56-m-6"
"A12_384Bulk_Plate3_S12","A12_384Bulk_Plate3_S12","Tabula Muris Senis (bulk RNA seq)","Lung_17","Mus musculus C57/BL6","12","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127028","SAMN11854576","Illumina NovaSeq 6000","Lung_17-f-12"
"A13_384Bulk_Plate1_S13","A13_384Bulk_Plate1_S13","Tabula Muris Senis (bulk RNA seq)","Spleen_7","Mus musculus C57/BL6","12","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127029","SAMN11854577","Illumina NovaSeq 6000","Spleen_7-f-12"
"A13_384Bulk_Plate2_S13","A13_384Bulk_Plate2_S13","Tabula Muris Senis (bulk RNA seq)","Pancreas_20","Mus musculus C57/BL6","15","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127026","SAMN11854578","Illumina NovaSeq 6000","Pancreas_20-m-15"
"A13_384Bulk_Plate3_S13","A13_384Bulk_Plate3_S13","Tabula Muris Senis (bulk RNA seq)","Brain_51","Mus musculus C57/BL6","18","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127027","SAMN11854579","Illumina NovaSeq 6000","Brain_51-f-18"
"A14_384Bulk_Plate1_S14","A14_384Bulk_Plate1_S14","Tabula Muris Senis (bulk RNA seq)","Bone_15","Mus musculus C57/BL6","15","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127024","SAMN11854580","Illumina NovaSeq 6000","Bone_15-m-15"
"A14_384Bulk_Plate2_S14","A14_384Bulk_Plate2_S14","Tabula Muris Senis (bulk RNA seq)","SCAT_2","Mus musculus C57/BL6","9","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127025","SAMN11854581","Illumina NovaSeq 6000","SCAT_2-f-9"
"A14_384Bulk_Plate3_S14","A14_384Bulk_Plate3_S14","Tabula Muris Senis (bulk RNA seq)","Small_Intestine_34","Mus musculus C57/BL6","3","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127022","SAMN11854582","Illumina NovaSeq 6000","Small_Intestine_34-m-3"
"A15_384Bulk_Plate1_S15","A15_384Bulk_Plate1_S15","Tabula Muris Senis (bulk RNA seq)","GAT_33","Mus musculus C57/BL6","6","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127023","SAMN11854583","Illumina NovaSeq 6000","GAT_33-m-6"
"A15_384Bulk_Plate2_S15","A15_384Bulk_Plate2_S15","Tabula Muris Senis (bulk RNA seq)","MAT_15","Mus musculus C57/BL6","18","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127020","SAMN11854584","Illumina NovaSeq 6000","MAT_15-m-18"
"A16_384Bulk_Plate1_S16","A16_384Bulk_Plate1_S16","Tabula Muris Senis (bulk RNA seq)","Lung_7","Mus musculus C57/BL6","1","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127021","SAMN11854585","Illumina NovaSeq 6000","Lung_7-m-1"
"A16_384Bulk_Plate2_S16","A16_384Bulk_Plate2_S16","Tabula Muris Senis (bulk RNA seq)","Pancreas_49","Mus musculus C57/BL6","12","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127268","SAMN11854586","Illumina NovaSeq 6000","Pancreas_49-f-12"
"A17_384Bulk_Plate1_S17","A17_384Bulk_Plate1_S17","Tabula Muris Senis (bulk RNA seq)","Small_Intestine_22","Mus musculus C57/BL6","18","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127267","SAMN11854587","Illumina NovaSeq 6000","Small_Intestine_22-m-18"
"A17_384Bulk_Plate2_S17","A17_384Bulk_Plate2_S17","Tabula Muris Senis (bulk RNA seq)","Small_Intestine_40","Mus musculus C57/BL6","12","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127074","SAMN11854588","Illumina NovaSeq 6000","Small_Intestine_40-m-12"
"A18_384Bulk_Plate1_S18","A18_384Bulk_Plate1_S18","Tabula Muris Senis (bulk RNA seq)","Brain_20","Mus musculus C57/BL6","21","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127073","SAMN11854589","Illumina NovaSeq 6000","Brain_20-f-21"
"A18_384Bulk_Plate2_S18","A18_384Bulk_Plate2_S18","Tabula Muris Senis (bulk RNA seq)","Limb_Muscle_18","Mus musculus C57/BL6","6","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127072","SAMN11854590","Illumina NovaSeq 6000","Limb_Muscle_18-m-6"
"A19_384Bulk_Plate1_S19","A19_384Bulk_Plate1_S19","Tabula Muris Senis (bulk RNA seq)","WBC_30","Mus musculus C57/BL6","12","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127071","SAMN11854591","Illumina NovaSeq 6000","WBC_30-m-12"
"A19_384Bulk_Plate2_S19","A19_384Bulk_Plate2_S19","Tabula Muris Senis (bulk RNA seq)","Heart_8","Mus musculus C57/BL6","1","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127070","SAMN11854592","Illumina NovaSeq 6000","Heart_8-m-1"
"A2_384Bulk_Plate1_S2","A2_384Bulk_Plate1_S2","Tabula Muris Senis (bulk RNA seq)","MAT_52","Mus musculus C57/BL6","15","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127069","SAMN11854593","Illumina NovaSeq 6000","MAT_52-m-15"
"A2_384Bulk_Plate2_S2","A2_384Bulk_Plate2_S2","Tabula Muris Senis (bulk RNA seq)","MAT_2","Mus musculus C57/BL6","9","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127270","SAMN11854594","Illumina NovaSeq 6000","MAT_2-f-9"
"A2_384Bulk_Plate3_S2","A2_384Bulk_Plate3_S2","Tabula Muris Senis (bulk RNA seq)","BAT_34","Mus musculus C57/BL6","27","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127269","SAMN11854595","Illumina NovaSeq 6000","BAT_34-m-27"
"A20_384Bulk_Plate1_S20","A20_384Bulk_Plate1_S20","Tabula Muris Senis (bulk RNA seq)","Lung_39","Mus musculus C57/BL6","3","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127500","SAMN11854596","Illumina NovaSeq 6000","Lung_39-m-3"
"A20_384Bulk_Plate2_S20","A20_384Bulk_Plate2_S20","Tabula Muris Senis (bulk RNA seq)","Brain_39","Mus musculus C57/BL6","12","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127501","SAMN11854597","Illumina NovaSeq 6000","Brain_39-m-12"
"A21_384Bulk_Plate1_S21","A21_384Bulk_Plate1_S21","Tabula Muris Senis (bulk RNA seq)","MAT_4","Mus musculus C57/BL6","1","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127502","SAMN11854598","Illumina NovaSeq 6000","MAT_4-m-1"
"A21_384Bulk_Plate2_S21","A21_384Bulk_Plate2_S21","Tabula Muris Senis (bulk RNA seq)","Liver_46","Mus musculus C57/BL6","6","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127503","SAMN11854599","Illumina NovaSeq 6000","Liver_46-m-6"
"A22_384Bulk_Plate1_S22","A22_384Bulk_Plate1_S22","Tabula Muris Senis (bulk RNA seq)","Spleen_50","Mus musculus C57/BL6","12","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127504","SAMN11854600","Illumina NovaSeq 6000","Spleen_50-m-12"
"A22_384Bulk_Plate2_S22","A22_384Bulk_Plate2_S22","Tabula Muris Senis (bulk RNA seq)","Liver_37","Mus musculus C57/BL6","1","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127505","SAMN11854601","Illumina NovaSeq 6000","Liver_37-m-1"
"A23_384Bulk_Plate1_S23","A23_384Bulk_Plate1_S23","Tabula Muris Senis (bulk RNA seq)","WBC_22","Mus musculus C57/BL6","12","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127506","SAMN11854602","Illumina NovaSeq 6000","WBC_22-m-12"
"A23_384Bulk_Plate2_S23","A23_384Bulk_Plate2_S23","Tabula Muris Senis (bulk RNA seq)","MAT_42","Mus musculus C57/BL6","1","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127507","SAMN11854603","Illumina NovaSeq 6000","MAT_42-f-1"
"A3_384Bulk_Plate1_S3","A3_384Bulk_Plate1_S3","Tabula Muris Senis (bulk RNA seq)","Spleen_30","Mus musculus C57/BL6","3","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127508","SAMN11854604","Illumina NovaSeq 6000","Spleen_30-m-3"
"A3_384Bulk_Plate2_S3","A3_384Bulk_Plate2_S3","Tabula Muris Senis (bulk RNA seq)","Lung_11","Mus musculus C57/BL6","18","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127509","SAMN11854605","Illumina NovaSeq 6000","Lung_11-m-18"
"A3_384Bulk_Plate3_S3","A3_384Bulk_Plate3_S3","Tabula Muris Senis (bulk RNA seq)","Skin_39","Mus musculus C57/BL6","9","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127251","SAMN11854606","Illumina NovaSeq 6000","Skin_39-m-9"
"A4_384Bulk_Plate1_S4","A4_384Bulk_Plate1_S4","Tabula Muris Senis (bulk RNA seq)","Marrow_22","Mus musculus C57/BL6","12","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127250","SAMN11854607","Illumina NovaSeq 6000","Marrow_22-f-12"
"A4_384Bulk_Plate2_S4","A4_384Bulk_Plate2_S4","Tabula Muris Senis (bulk RNA seq)","GAT_2","Mus musculus C57/BL6","12","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127253","SAMN11854608","Illumina NovaSeq 6000","GAT_2-m-12"
"A4_384Bulk_Plate3_S4","A4_384Bulk_Plate3_S4","Tabula Muris Senis (bulk RNA seq)","BAT_43","Mus musculus C57/BL6","21","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127252","SAMN11854609","Illumina NovaSeq 6000","BAT_43-m-21"
"A5_384Bulk_Plate1_S5","A5_384Bulk_Plate1_S5","Tabula Muris Senis (bulk RNA seq)","GAT_8","Mus musculus C57/BL6","1","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127255","SAMN11854610","Illumina NovaSeq 6000","GAT_8-m-1"
"A5_384Bulk_Plate2_S5","A5_384Bulk_Plate2_S5","Tabula Muris Senis (bulk RNA seq)","Kidney_45","Mus musculus C57/BL6","9","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127254","SAMN11854611","Illumina NovaSeq 6000","Kidney_45-f-9"
"A5_384Bulk_Plate3_S5","A5_384Bulk_Plate3_S5","Tabula Muris Senis (bulk RNA seq)","Brain_29","Mus musculus C57/BL6","27","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127257","SAMN11854612","Illumina NovaSeq 6000","Brain_29-m-27"
"A6_384Bulk_Plate1_S6","A6_384Bulk_Plate1_S6","Tabula Muris Senis (bulk RNA seq)","Liver_8","Mus musculus C57/BL6","3","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127256","SAMN11854613","Illumina NovaSeq 6000","Liver_8-f-3"
"A6_384Bulk_Plate2_S6","A6_384Bulk_Plate2_S6","Tabula Muris Senis (bulk RNA seq)","Pancreas_19","Mus musculus C57/BL6","27","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127259","SAMN11854614","Illumina NovaSeq 6000","Pancreas_19-m-27"
"A6_384Bulk_Plate3_S6","A6_384Bulk_Plate3_S6","Tabula Muris Senis (bulk RNA seq)","Small_Intestine_51","Mus musculus C57/BL6","9","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127258","SAMN11854615","Illumina NovaSeq 6000","Small_Intestine_51-m-9"
"A7_384Bulk_Plate1_S7","A7_384Bulk_Plate1_S7","Tabula Muris Senis (bulk RNA seq)","Lung_10","Mus musculus C57/BL6","18","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127052","SAMN11854616","Illumina NovaSeq 6000","Lung_10-f-18"
"A7_384Bulk_Plate2_S7","A7_384Bulk_Plate2_S7","Tabula Muris Senis (bulk RNA seq)","Lung_22","Mus musculus C57/BL6","21","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127053","SAMN11854617","Illumina NovaSeq 6000","Lung_22-m-21"
"A7_384Bulk_Plate3_S7","A7_384Bulk_Plate3_S7","Tabula Muris Senis (bulk RNA seq)","Liver_14","Mus musculus C57/BL6","3","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127050","SAMN11854618","Illumina NovaSeq 6000","Liver_14-m-3"
"A8_384Bulk_Plate1_S8","A8_384Bulk_Plate1_S8","Tabula Muris Senis (bulk RNA seq)","Bone_45","Mus musculus C57/BL6","15","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127051","SAMN11854619","Illumina NovaSeq 6000","Bone_45-m-15"
"A8_384Bulk_Plate2_S8","A8_384Bulk_Plate2_S8","Tabula Muris Senis (bulk RNA seq)","Liver_9","Mus musculus C57/BL6","15","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127056","SAMN11854620","Illumina NovaSeq 6000","Liver_9-f-15"
"A8_384Bulk_Plate3_S8","A8_384Bulk_Plate3_S8","Tabula Muris Senis (bulk RNA seq)","Pancreas_37","Mus musculus C57/BL6","12","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127057","SAMN11854621","Illumina NovaSeq 6000","Pancreas_37-f-12"
"A9_384Bulk_Plate1_S9","A9_384Bulk_Plate1_S9","Tabula Muris Senis (bulk RNA seq)","Brain_4","Mus musculus C57/BL6","3","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127054","SAMN11854622","Illumina NovaSeq 6000","Brain_4-m-3"
"A9_384Bulk_Plate2_S9","A9_384Bulk_Plate2_S9","Tabula Muris Senis (bulk RNA seq)","Brain_5","Mus musculus C57/BL6","9","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127055","SAMN11854623","Illumina NovaSeq 6000","Brain_5-m-9"
"A9_384Bulk_Plate3_S9","A9_384Bulk_Plate3_S9","Tabula Muris Senis (bulk RNA seq)","MAT_6","Mus musculus C57/BL6","18","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127059","SAMN11854624","Illumina NovaSeq 6000","MAT_6-m-18"
"B1_384Bulk_Plate1_S25","B1_384Bulk_Plate1_S25","Tabula Muris Senis (bulk RNA seq)","Spleen_21","Mus musculus C57/BL6","21","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127060","SAMN11854625","Illumina NovaSeq 6000","Spleen_21-f-21"
"B1_384Bulk_Plate2_S25","B1_384Bulk_Plate2_S25","Tabula Muris Senis (bulk RNA seq)","WBC_52","Mus musculus C57/BL6","21","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126799","SAMN11854626","Illumina NovaSeq 6000","WBC_52-m-21"
"B1_384Bulk_Plate3_S25","B1_384Bulk_Plate3_S25","Tabula Muris Senis (bulk RNA seq)","Spleen_20","Mus musculus C57/BL6","9","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126798","SAMN11854627","Illumina NovaSeq 6000","Spleen_20-m-9"
"B10_384Bulk_Plate1_S34","B10_384Bulk_Plate1_S34","Tabula Muris Senis (bulk RNA seq)","BAT_3","Mus musculus C57/BL6","15","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126797","SAMN11854628","Illumina NovaSeq 6000","BAT_3-f-15"
"B10_384Bulk_Plate2_S34","B10_384Bulk_Plate2_S34","Tabula Muris Senis (bulk RNA seq)","Pancreas_10","Mus musculus C57/BL6","3","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126796","SAMN11854629","Illumina NovaSeq 6000","Pancreas_10-f-3"
"B10_384Bulk_Plate3_S34","B10_384Bulk_Plate3_S34","Tabula Muris Senis (bulk RNA seq)","Marrow_5","Mus musculus C57/BL6","12","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126803","SAMN11854630","Illumina NovaSeq 6000","Marrow_5-f-12"
"B11_384Bulk_Plate1_S35","B11_384Bulk_Plate1_S35","Tabula Muris Senis (bulk RNA seq)","Brain_24","Mus musculus C57/BL6","9","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126802","SAMN11854631","Illumina NovaSeq 6000","Brain_24-f-9"
"B11_384Bulk_Plate2_S35","B11_384Bulk_Plate2_S35","Tabula Muris Senis (bulk RNA seq)","Skin_23","Mus musculus C57/BL6","1","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126801","SAMN11854632","Illumina NovaSeq 6000","Skin_23-m-1"
"B11_384Bulk_Plate3_S35","B11_384Bulk_Plate3_S35","Tabula Muris Senis (bulk RNA seq)","SCAT_37","Mus musculus C57/BL6","6","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126800","SAMN11854633","Illumina NovaSeq 6000","SCAT_37-f-6"
"B12_384Bulk_Plate1_S36","B12_384Bulk_Plate1_S36","Tabula Muris Senis (bulk RNA seq)","Pancreas_46","Mus musculus C57/BL6","3","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126795","SAMN11854634","Illumina NovaSeq 6000","Pancreas_46-f-3"
"B12_384Bulk_Plate2_S36","B12_384Bulk_Plate2_S36","Tabula Muris Senis (bulk RNA seq)","Brain_40","Mus musculus C57/BL6","6","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126794","SAMN11854635","Illumina NovaSeq 6000","Brain_40-m-6"
"B12_384Bulk_Plate3_S36","B12_384Bulk_Plate3_S36","Tabula Muris Senis (bulk RNA seq)","Brain_17","Mus musculus C57/BL6","3","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126849","SAMN11854636","Illumina NovaSeq 6000","Brain_17-m-3"
"B13_384Bulk_Plate1_S37","B13_384Bulk_Plate1_S37","Tabula Muris Senis (bulk RNA seq)","Bone_36","Mus musculus C57/BL6","6","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126850","SAMN11854637","Illumina NovaSeq 6000","Bone_36-f-6"
"B13_384Bulk_Plate2_S37","B13_384Bulk_Plate2_S37","Tabula Muris Senis (bulk RNA seq)","Marrow_8","Mus musculus C57/BL6","6","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126851","SAMN11854638","Illumina NovaSeq 6000","Marrow_8-m-6"
"B13_384Bulk_Plate3_S37","B13_384Bulk_Plate3_S37","Tabula Muris Senis (bulk RNA seq)","Pancreas_9","Mus musculus C57/BL6","24","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126852","SAMN11854639","Illumina NovaSeq 6000","Pancreas_9-m-24"
"B14_384Bulk_Plate1_S38","B14_384Bulk_Plate1_S38","Tabula Muris Senis (bulk RNA seq)","Kidney_38","Mus musculus C57/BL6","21","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126845","SAMN11854640","Illumina NovaSeq 6000","Kidney_38-m-21"
"B14_384Bulk_Plate2_S38","B14_384Bulk_Plate2_S38","Tabula Muris Senis (bulk RNA seq)","Limb_Muscle_5","Mus musculus C57/BL6","6","months postnatal","f","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9127265","SAMN11854641","Illumina NovaSeq 6000","Limb_Muscle_5-f-6"
"B14_384Bulk_Plate3_S38","B14_384Bulk_Plate3_S38","Tabula Muris Senis (bulk RNA seq)","NA1","Mus musculus C57/BL6","NA1","months postnatal","missing","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126847","SAMN11854642","Illumina NovaSeq 6000","NA1-missing-NA1"
"B15_384Bulk_Plate1_S39","B15_384Bulk_Plate1_S39","Tabula Muris Senis (bulk RNA seq)","Limb_Muscle_3","Mus musculus C57/BL6","12","months postnatal","m","total RNA",NA,"190214_A00111_0269_AHH3J3DSXX__190214_A00111_0270_BHHMFWDSXX","SRR9126848","SAMN11854643","Illumina NovaSeq 6000","Limb_Muscle_3-m-12"
